Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
get alerts,Chrome 137.0.7151.119,,,20-06-2025 20:47:33,20-06-2025 20:53:12,5m - 38.369s,PASSED
,,,,,,,
Test Cases/web testing/alert/alerts,Chrome 137.0.7151.119,,,20-06-2025 20:47:34,20-06-2025 20:48:49,1m - 14.958s,PASSED
"openBrowser("""")",Chrome 137.0.7151.119,,,20-06-2025 20:47:35,20-06-2025 20:47:39,4.068s,PASSED
"navigateToUrl(""https://demoqa.com/alerts"")",Chrome 137.0.7151.119,,,20-06-2025 20:47:39,20-06-2025 20:48:41,1m - 1.963s,PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/alert/button_alertButton""), 0)",Chrome 137.0.7151.119,,,20-06-2025 20:48:41,20-06-2025 20:48:42,1.850s,PASSED
"click(findTestObject(""Page_DEMOQA/alert/button_alertButton""))",Chrome 137.0.7151.119,,,20-06-2025 20:48:42,20-06-2025 20:48:43,0.556s,PASSED
driver = getWebDriver(),Chrome 137.0.7151.119,,,20-06-2025 20:48:43,20-06-2025 20:48:43,0.028s,PASSED
AlertText = alert().getText(),Chrome 137.0.7151.119,Getting the text from the alert and storing it in Variable,,20-06-2025 20:48:43,20-06-2025 20:48:43,0.153s,PASSED
println(AlertText),Chrome 137.0.7151.119,,,20-06-2025 20:48:43,20-06-2025 20:48:43,0.014s,PASSED
delay(5),Chrome 137.0.7151.119,,,20-06-2025 20:48:43,20-06-2025 20:48:48,5.088s,PASSED
acceptAlert(),Chrome 137.0.7151.119,,,20-06-2025 20:48:48,20-06-2025 20:48:48,0.057s,PASSED
closeBrowser(),Chrome 137.0.7151.119,,,20-06-2025 20:48:48,20-06-2025 20:48:49,0.605s,PASSED
,,,,,,,
Test Cases/web testing/alert/confirm alert,Chrome 137.0.7151.119,,,20-06-2025 20:48:49,20-06-2025 20:50:22,1m - 32.671s,PASSED
"openBrowser("""")",Chrome 137.0.7151.119,,,20-06-2025 20:48:49,20-06-2025 20:48:52,2.383s,PASSED
"navigateToUrl(""https://demoqa.com/alerts"")",Chrome 137.0.7151.119,,,20-06-2025 20:48:52,20-06-2025 20:50:08,1m - 16.574s,PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/alert/button_confirmButton""), 0)",Chrome 137.0.7151.119,,,20-06-2025 20:50:08,20-06-2025 20:50:09,1.131s,PASSED
"click(findTestObject(""Page_DEMOQA/alert/button_confirmButton""))",Chrome 137.0.7151.119,,,20-06-2025 20:50:09,20-06-2025 20:50:10,0.580s,PASSED
dismissAlert(),Chrome 137.0.7151.119,,,20-06-2025 20:50:10,20-06-2025 20:50:10,0.096s,PASSED
"data = getText(findTestObject(""Page_DEMOQA/alert/span_confirmResult""))",Chrome 137.0.7151.119,,,20-06-2025 20:50:10,20-06-2025 20:50:11,0.624s,PASSED
println(data),Chrome 137.0.7151.119,,,20-06-2025 20:50:11,20-06-2025 20:50:11,0.003s,PASSED
delay(5),Chrome 137.0.7151.119,,,20-06-2025 20:50:11,20-06-2025 20:50:16,5.011s,PASSED
